ID,Name,Type,Faction,Influence,Agenda
06089,"Lycan",ICE,Weyland,2,0
06090,"Snatch and Grab",Operation,Neutral,0,0
06091,"Merlin",ICE,Neutral,1,0
06092,"Shell Corporation",Upgrade,Neutral,0,0
06093,"Ekomind",Hardware,Anarch,3,0
06094,"Cerberus ""Cuj.0"" H3",Program,Anarch,3,0
06095,"Leela Patel: Trained Pragmatist",Identity,Criminal,15,0
06096,"Cerberus ""Rex"" H2",Program,Criminal,3,0
06097,"Zona Sul Shipping",Resource,Criminal,1,0
06098,"Cybsoft MacroDrive",Hardware,Shaper,1,0
06099,"Cerberus ""Lady"" H1",Program,Shaper,3,0
06100,"Utopia Shard",Resource,Neutral,1,0
06101,"Helium-3 Deposit",Agenda,Weyland,0,2
06102,"Errand Boy",ICE,Weyland,1,0
06103,"IT Department",Asset,HaasBioroid,1,0
06104,"Markus 1.0",ICE,HaasBioroid,1,0
06105,"Industrial Genomics: Growing Solutions",Identity,Jinteki,15,0
06106,"Turtlebacks",Asset,Jinteki,1,0
06107,"Shoot the Moon",Operation,NBN,2,0
06108,"Troll",ICE,NBN,2,0
06109,"Virgo",ICE,NBN,2,0
06110,"Utopia Fragment",Agenda,Neutral,0,3
06111,"Excalibur",ICE,Neutral,0,0
06112,"Self-destruct",Upgrade,Neutral,0,0
06113,"Incubator",Program,Anarch,3,0
06114,"Ixodidae",Program,Anarch,2,0
06115,"Code Siphon",Event,Shaper,4,0
06116,"Collective Consciousness",Program,Shaper,2,0
06117,"Sage",Program,Shaper,3,0
06118,"Bribery",Event,Criminal,2,0
06119,"Au Revoir",Program,Criminal,2,0
06120,"Earthrise Hotel",Resource,Neutral,0,0
07001,"Argus Security: Protection Guaranteed",Identity,Weyland,15,0
07002,"Gagarin Deep Space: Expanding the Horizon",Identity,Weyland,15,0
07003,"Titan Transnational: Investing In Your Future",Identity,Weyland,17,0
07004,"Firmware Updates",Agenda,Weyland,0,1
07005,"Glenn Station",Agenda,Weyland,0,2
07006,"Government Takeover",Agenda,Weyland,0,6
07007,"High-Risk Investment",Agenda,Weyland,0,3
07008,"Constellation Protocol",Asset,Weyland,2,0
07009,"Mark Yale",Asset,Weyland,1,0
07010,"Space Camp",Asset,Weyland,1,0
07011,"The Board",Asset,Weyland,5,0
07012,"Asteroid Belt",ICE,Weyland,2,0
07013,"Wormhole",ICE,Weyland,2,0
07014,"Nebula",ICE,Weyland,2,0
07015,"Orion",ICE,Weyland,3,0
07016,"Builder",ICE,Weyland,1,0
07017,"Checkpoint",ICE,Weyland,2,0
07018,"Fire Wall",ICE,Weyland,2,0
07019,"Searchlight",ICE,Weyland,1,0
07020,"Housekeeping",Operation,Weyland,3,0
07021,"Patch",Operation,Weyland,2,0
07022,"Traffic Accident",Operation,Weyland,1,0
07023,"Satellite Grid",Upgrade,Weyland,3,0
07024,"The Twins",Upgrade,Weyland,1,0
07025,"Sub Boost",Operation,Neutral,0,0
07026,"Dedicated Technician Team",Upgrade,Neutral,0,0
07027,"Cyberdex Virus Suite",Upgrade,Neutral,0,0
07028,"Edward Kim: Humanity's Hammer",Identity,Anarch,15,0
07029,"MaxX: Maximum Punk Rock",Identity,Anarch,15,0
07030,"Valencia Estevez: The Angel of Cayambe",Identity,Anarch,15,0
07031,"Amped Up",Event,Anarch,3,0
07032,"I've Had Worse",Event,Anarch,2,0
07033,"Itinerant Protesters",Event,Anarch,2,0
07034,"Showing Off",Event,Anarch,3,0
07035,"Wanton Destruction",Event,Anarch,4,0
07036,"Day Job",Event,Anarch,1,0
07037,"Forked",Event,Anarch,3,0
07038,"Knifed",Event,Anarch,3,0
07039,"Spooned",Event,Anarch,3,0
07040,"Eater",Program,Anarch,3,0
07041,"Gravedigger",Program,Anarch,2,0
07042,"Hivemind",Program,Anarch,5,0
07043,"Progenitor",Program,Anarch,2,0
07044,"Archives Interface",Hardware,Anarch,2,0
07045,"Chop Bot 3000",Hardware,Anarch,1,0
07046,"MemStrips",Hardware,Anarch,2,0
07047,"Vigil",Hardware,Anarch,2,0
07048,"Human First",Resource,Anarch,2,0
07049,"Investigative Journalism",Resource,Anarch,1,0
07050,"Sacrificial Clone",Resource,Anarch,4,0
07051,"Stim Dealer",Resource,Anarch,3,0
07052,"Virus Breeding Ground",Resource,Anarch,2,0
07053,"Uninstall",Event,Neutral,0,0
07054,"Qianju PT",Hardware,Neutral,0,0
07055,"Data Folding",Resource,Neutral,0,0
