ID, Name, Type, Faction, Influence
07015,"Orion",ICE,Weyland,3
07016,"Builder",ICE,Weyland,1
07017,"Checkpoint",ICE,Weyland,2
07018,"Fire Wall",ICE,Weyland,2
07019,"Searchlight",ICE,Weyland,1
07020,"Housekeeping",Operation,Weyland,3
07021,"Patch",Operation,Weyland,2
07022,"Traffic Accident",Operation,Weyland,1
07023,"Satellite Grid",Upgrade,Weyland,3
07024,"The Twins",Upgrade,Weyland,1
07025,"Sub Boost",Operation,Neutral,0
07026,"Dedicated Technician Team",Upgrade,Neutral,0
07027,"Cyberdex Virus Suite",Upgrade,Neutral,0
07028,"Edward Kim: Humanity's Hammer",Identity,Anarch,15
07029,"MaxX: Maximum Punk Rock",Identity,Anarch,15
07030,"Valencia Estevez: The Angel of Cayambe",Identity,Anarch,15
07031,"Amped Up",Event,Anarch,3
07032,"I've Had Worse",Event,Anarch,2
07033,"Itinerant Protesters",Event,Anarch,2
07034,"Showing Off",Event,Anarch,3
07035,"Wanton Destruction",Event,Anarch,4
07036,"Day Job",Event,Anarch,1
07037,"Forked",Event,Anarch,3
07038,"Knifed",Event,Anarch,3
07039,"Spooned",Event,Anarch,3
07040,"Eater",Program,Anarch,3
07041,"Gravedigger",Program,Anarch,2
07042,"Hivemind",Program,Anarch,5
07043,"Progenitor",Program,Anarch,2
07044,"Archives Interface",Hardware,Anarch,2
07045,"Chop Bot 3000",Hardware,Anarch,1
07046,"MemStrips",Hardware,Anarch,2
07047,"Vigil",Hardware,Anarch,2
07048,"Human First",Resource,Anarch,2
07049,"Investigative Journalism",Resource,Anarch,1
07050,"Sacrificial Clone",Resource,Anarch,4
07051,"Stim Dealer",Resource,Anarch,3
07052,"Virus Breeding Ground",Resource,Anarch,2
07053,"Uninstall",Event,Neutral,0
07054,"Qianju PT",Hardware,Neutral,0
07055,"Data Folding",Resource,Neutral,0
